"Product Korporat Code","Reference","BoM Lines/Product Template/Korporat Code","BoM Lines/Product Template/Material Type","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"","","ES-W0I01RNFS1,3-W","Semi Finished Goods","1.0","Pc(s)"
"","","CONT-ESPR-ESAN","Packaging Material","1.0","Pc(s)"
"","","KUAS-ESSNBRWP2K-BT","Packaging Material","1.0","Pc(s)"
"","","PLAS-DMESBOR0-E","Packaging Material","1.0","Pc(s)"
"","","STIC-BOTESC-ECNF","Packaging Material","1.0","Pc(s)"
"","","DUS-PRPESC-EILD","Packaging Material","1.0","Pc(s)"
"","","KB-EBR1-KMK125CF","Packaging Material","0.00793","Pc(s)"
"L-PVW02-MO","3","L-PVW02-BULK","Semi Finished Goods","0.0055","kg"
"","","BOTO-PVLSR0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-BTPVLS2R0-MO","Packaging Material","1.0","Pc(s)"
"","","CAPA-WPVLSR0-MO","Packaging Material","1.0","Pc(s)"
"","","DUS-PVLSPUR2-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-VPVLS2R1-MO","Packaging Material","1.0","Pc(s)"
"","","IBOX-12BR0-MO","Packaging Material","0.08333","Pc(s)"
"","","KB-MOBOPR1-MO","Packaging Material","0.00694","Pc(s)"
"L-REMO41-W","5","L-REMO41-BULK","Semi Finished Goods","0.0035","kg"
"","","CAPC-EMLRLR0-WRL","Packaging Material","1.0","Pc(s)"
"","","CONT-EMLRLR0-WRL","Packaging Material","1.0","Pc(s)"
"","","STIC-BTEMO41R1-WCNF","Packaging Material","1.0","Pc(s)"
"","","DUS-EMOR0-WIMVG","Packaging Material","1.0","Pc(s)"
"","","STIC-BCEMO41R1-WCNF","Packaging Material","1.0","Pc(s)"
"","","IBOX-12ELRLR1-W","Packaging Material","0.08333","Pc(s)"
"","","KB-WLER1-KMK125CF","Packaging Material","0.00694","Pc(s)"
"L-PVW08-MO","3","L-PVW08-BULK","Semi Finished Goods","0.0055","kg"
"","","BOTO-PVLSR0-MO","Packaging Material","1.0","Pc(s)"
"","","CAPA-WPVLSR0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-BTPVLS8R0-MO","Packaging Material","1.0","Pc(s)"
"","","DUS-PVLSPUR2-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-VPVLS8R1-MO","Packaging Material","1.0","Pc(s)"
"","","IBOX-12BR0-MO","Packaging Material","0.08333","Pc(s)"
"","","KB-MOBOPR1-MO","Packaging Material","0.00694","Pc(s)"
