Attribute number;Attribute value;Attribute description;Attribute name
10;Blister Paper UVS Sunscreen Stick W;Blister Paper UVS Sunscreen Stick W;Product Name
10;Blush On 01 Pink Fantasist;Blush On 01 Pink Fantasist;Product Name
10;Blush On 02 Irredescent Pink;Blush On 02 Irredescent Pink;Product Name
10;Blush On 03 Promiscious Peach;Blush On 03 Promiscious Peach;Product Name
10;Blush On 04 Royal Espresso;Blush On 04 Royal Espresso;Product Name
10;Blush On 05 Brown Strada;Blush On 05 Brown Strada;Product Name
10;Blush On 06 Caribbean Sunset;Blush On 06 Caribbean Sunset;Product Name
10;Blush On 07 Scarlet Sheen;Blush On 07 Scarlet Sheen;Product Name
10;Blush On 08 Cruise Coral;Blush On 08 Cruise Coral;Product Name
10;Blush On 09 Summer Twist;Blush On 09 Summer Twist;Product Name
10;Blush On 10 Passion Pink;Blush On 10 Passion Pink;Product Name
10;Blush on 01 Pink Fantasist Refill Not For Sale Ne Make Over (Pc(s));Blush on 01 Pink Fantasist Refill Not For Sale Ne Make Over (Pc(s));Product Name
10;Blush on 02 Iredescent Pink Refill Not For Sale Ne Make Over (Pc(s));Blush on 02 Iredescent Pink Refill Not For Sale Ne Make Over (Pc(s));Product Name
10;Blush on 03 Promicious Peach Refill Not For Sale 3 Make Over (Pc(s));Blush on 03 Promicious Peach Refill Not For Sale 3 Make Over (Pc(s));Product Name
10;Blush on 04 Royal Espresso Refill Not For Sale Net Make Over (Pc(s0);Blush on 04 Royal Espresso Refill Not For Sale Net Make Over (Pc(s0);Product Name
10;Blush on 05 Brown Strada Refill Not For Sale Netto Make Over (Pc(s));Blush on 05 Brown Strada Refill Not For Sale Netto Make Over (Pc(s));Product Name
10;Blush on 06 Caribbean Sunset Refill Not For Sale 3 Make Over (Pc(s));Blush on 06 Caribbean Sunset Refill Not For Sale 3 Make Over (Pc(s));Product Name
10;Blush on 07 Scarlet Sheen Refill Not For Sale Nett Make Over (Pc(s));Blush on 07 Scarlet Sheen Refill Not For Sale Nett Make Over (Pc(s));Product Name
10;Blush on 08 Cruise Coral Refill Not For Sale Netto Make Over (Pc(s));Blush on 08 Cruise Coral Refill Not For Sale Netto Make Over (Pc(s));Product Name
10;Blush on New Look Seri F 02 BULK;Blush on New Look Seri F 02 BULK;Product Name
10;Blush on New Look Seri G 01 BULK;Blush on New Look Seri G 01 BULK;Product Name
10;Blush on New Seri E 01 BULK;Blush on New Seri E 01 BULK;Product Name
10;Blush on Single 01 Pink Fantasist 6gr Refill Not f Make Over (Pc(s));Blush on Single 01 Pink Fantasist 6gr Refill Not f Make Over (Pc(s));Product Name
10;Blush on Single 03 Promiscious Peach 6gr Refill No Make Over (Pc(s));Blush on Single 03 Promiscious Peach 6gr Refill No Make Over (Pc(s));Product Name
10;Blush on Single 06 Caribean Sunset 6gr Refill Not Make Over (Pc(s));Blush on Single 06 Caribean Sunset 6gr Refill Not Make Over (Pc(s));Product Name
10;Blush on Single 07 Scarlet Sheen 6gr Refill Not fo Make Over (Pc(s));Blush on Single 07 Scarlet Sheen 6gr Refill Not fo Make Over (Pc(s));Product Name
10;Blush on Single 08 Cruise Coral 6gr Refill Not for Make Over (Pc(s));Blush on Single 08 Cruise Coral 6gr Refill Not for Make Over (Pc(s));Product Name
