"Korporat Code","Variant Seller/Vendor/Reference","Variant Seller/Delivery Lead Time","Variant Seller/QC Leadtime in days","Variant Seller/Incoterms"
"","2200036","4","2","DELIVERED DUTY PAID"
"","2200036","4","2","DELIVERED DUTY PAID"
"BOTO-ADS1702R0-W","2200028","4","2","DELIVERED DUTY PAID"
"","2200028","4","2","DELIVERED DUTY PAID"
"","2200028","4","2","DELIVERED DUTY PAID"
"BOTO-HRKT30R0-W","2200004","4","2","DELIVERED DUTY PAID"
"","2200004","4","2","DELIVERED DUTY PAID"
"","2200004","4","2","DELIVERED DUTY PAID"
"","2200004","4","2","DELIVERED DUTY PAID"
"","2200004","4","2","DELIVERED DUTY PAID"
"","2200004","4","2","DELIVERED DUTY PAID"
"BOTO-BCBW-K","2200036","4","2","DELIVERED DUTY PAID"
"","2200036","4","2","DELIVERED DUTY PAID"
"","2200036","4","2","DELIVERED DUTY PAID"
"BOTO-BDMR0-MOPTG","2200032","15","2","FREE ON BOARD"
"","2200032","15","2","FREE ON BOARD"
"","2200032","15","2","FREE ON BOARD"
"","2200032","17","2","FREE ON BOARD"
"BOTO-CSPTE1000R0-W","2200042","8","2","DELIVERED DUTY PAID"
"","2200042","8","2","DELIVERED DUTY PAID"
"","2200042","8","2","DELIVERED DUTY PAID"
"","2200042","8","2","DELIVERED DUTY PAID"
"","2200042","8","2","DELIVERED DUTY PAID"
"","2200042","8","2","DELIVERED DUTY PAID"
"","2200042","8","2","DELIVERED DUTY PAID"
"","2200042","8","2","DELIVERED DUTY PAID"
"","2200042","8","2","DELIVERED DUTY PAID"
"","2200042","8","2","DELIVERED DUTY PAID"
"BOTO-CDFMR1-WPET","2200103","12","2","FREE ON BOARD"
