Kode Unik,Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Material Type,BoM Lines/Quantity,BoM Lines/Product Unit of Measure,Tidak ada BOM,Sediaan,Cek Bundling,Closing Level 1,Closing Level 2,Closing Level 3,Cek Closing Lvl1,Cek Closing Lvl2
FW-GSN2-L/3,FW-GSN2-L,STIC-SEPJGR1-L,Packaging Material,1,Pc(s),STIC-VRCPGC23WR0-W,Liquid factory,FW-GSN2-L,FW-GSN2-L,,,KB-BTLS150WNL32-K125,
FW-GSN2-L/3,FW-GSN2-L,STIC-GBMC225R1-L,Packaging Material,1,Pc(s),STIC-VRCPGC32NR0-W,Liquid factory,FW-GSN2-L,FW-GSN2-L,,,HBL-ETBME-BULK,
FW-GSN2-L/3,FW-GSN2-L,BOTO-GBMC225-X,Packaging Material,1,Pc(s),STIC-VRMFPFR11R0-IP,Liquid factory,FW-GSN2-L,FW-GSN2-L,,,STIC-FFCBGSR0-ELL,
FW-GSN2-L/3,FW-GSN2-L,KB-LABBR0-L,Packaging Material,0.11111,Pc(s),STIC-VRMFPFR22R0-IP,Liquid factory,FW-GSN2-L,FW-GSN2-L,,,STIC-BFCBGSR0-ELL,
FW-GSN2-L/3,FW-GSN2-L,PU-LGSSC225-L,Packaging Material,1,Pc(s),STIC-VRMFPFR32R0-IP,Liquid factory,FW-GSN2-L,FW-GSN2-L,,,BOTO-PETE250-ELL,
FW-GSNP-L/1,FW-GSNP-L,FW-GS-BULK,Semi Finished Goods,0.015,kg,STIC-VRMFPFR33R0-IP,,FW-GSNP-L,,FW-GSNP-L,,CAP-EARTHBALT-ELL,
FW-GSNP-L/1,FW-GSNP-L,TUBE-GBMC15R0-L,Packaging Material,1,Pc(s),STIC-VRMFPFR43R0-IP,,FW-GSNP-L,,FW-GSNP-L,,KB-BTLS150WNL32-K125,
FW-LMGWN1-W/3,FW-LMGWN1-W,FW-LMGW-BULK,Semi Finished Goods,0.05,kg,STIC-VRMFPFR52R0-IP,Liquid factory,FW-LMGWN1-W,FW-LMGWN1-W,,,HBL-V1-BULK,
FW-LMGWN1-W/3,FW-LMGWN1-W,TUBE-LMGW50-WPBL,Packaging Material,1,Pc(s),STIC-VSAC11R0-IP,Liquid factory,FW-LMGWN1-W,FW-LMGWN1-W,,,SACH-BLF20-WL,
FW-LMGWN1-W/3,FW-LMGWN1-W,KB-K100R1-W,Packaging Material,0.02,Pc(s),STIC-VSAC22R0-IP,Liquid factory,FW-LMGWN1-W,FW-LMGWN1-W,,,HBL-V2-BULK,
FW-LMGWN2-W/2,FW-LMGWN2-W,KB-WT100R1-KMM125BF,Packaging Material,0.02857,Pc(s),STIC-VSAC32R0-IP,Liquid factory,FW-LMGWN2-W,FW-LMGWN2-W,,,SACH-BLR20-WL,
FW-LMGWN2-W/2,FW-LMGWN2-W,FW-LMGW-BULK,Semi Finished Goods,0.1,kg,STIC-VSAC33R0-IP,Liquid factory,FW-LMGWN2-W,FW-LMGWN2-W,,,HBL-V3-BULK,
FW-LMGWN2-W/2,FW-LMGWN2-W,TUBE-LMGW100R0-WPBL,Packaging Material,1,Pc(s),STIC-VSAC43R0-IP,Liquid factory,FW-LMGWN2-W,FW-LMGWN2-W,,,SACH-BLV20-WL,
FW-LWFN1-W/2,FW-LWFN1-W,FW-LWF-BULK,Semi Finished Goods,0.05,kg,STIC-VSAC52R0-IP,Liquid factory,FW-LWFN1-W,FW-LWFN1-W,,,HBL-V4-BULK,
FW-LWFN1-W/2,FW-LWFN1-W,TUBE-LWFF50-WPBL,Packaging Material,1,Pc(s),STIC-VSFCF11FP30R0-IP,Liquid factory,FW-LWFN1-W,FW-LWFN1-W,,,SACH-BLA20-WL,
