product_tmpl_id/default_code,product_tmpl_id/old_koitem,product_tmpl_id/internal_name,product_id/categ_id/display_name,location_id/display_name,lot_id/name,quantity,product_uom_id/name,PUP May,Total Price @PUP,,,Stock 1 Jun 23,Total Price PUP May,"8,231,812,842.00",Qty in pcs,"19,728,415.28"
CAP-SPGM75-OMG,CAP-SPGM75-OMG,Cap Sachet Peach Glowing Cream 7.5 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/AE-03A1,GBMJTK4/JD191238,30000,Pc(s),0,0,,,,,,,
SACH-PGM75-OMG,SACH-PGM75-OMG,Sachet Peach Glowing Cream 7.5 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/AE-03A1,GBMJTK4/JD191237,29987,Pc(s),642.959561415011,19280428.3681519,,,,,,,
STIC-VMKLC02R1-OMG,STIC-VMKLC02R1-OMG,Sticker Varian Matte Kiss Lip Cream 02 R1 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/E1-6,GBMJTK4/JH231620,29990,pc(s),35.5421686746988,1065909.63855422,,,,,,,
CONT-CTWCR0-OMG,CONT-CTWCR0-OMG,Container Coverlast Two Way Cake OMG,Packaging Material,JTK 4/Stock/Release/PKG,GBMJTK4/JI061686,2,Pc(s),2978.17463195559,5956.34926391119,,,,,,,
STIC-VMKLC08R1-OMG,STIC-VMKLC08R1-OMG,Sticker Varian Matte Kiss Lip Cream 08 R1 OMG,Packaging Material,JTK 4/Stock/Release/PKG,GBMJTK4/JI121720,49985,pc(s),35.0662557781202,1752786.79506934,,,,,,,
BOTO-MKLCR0-OMG,BOTO-MKLCR0-OMG,Bottle Matte KLC OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/AA-05D1,GBMJTK4/JI061681,0,pc(s),1474.8493267543,0,,,,,,,
BOTO-MKLCR0-OMG,BOTO-MKLCR0-OMG,Bottle Matte KLC OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/AA-06D2,GBMJTK4/JI061681,0,pc(s),1474.8493267543,0,,,,,,,
BOTO-MKLCR0-OMG,BOTO-MKLCR0-OMG,Bottle Matte KLC OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/AA-07B1,GBMJTK4/JI061681,0,pc(s),1474.8493267543,0,,,,,,,
STIC-VMKLC07R1-OMG,STIC-VMKLC07R1-OMG,Sticker Varian Matte Kiss Lip Cream 07 R1 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/E1-2,GBMJTK4/IJ25721,19707,pc(s),30.0451574569222,592099.918003565,,,,,,,
BOTO-JKLTSR0-OMG,BOTO-JKLTSR0-OMG,Bottle Juicy Kiss Lip Tint OMG,Packaging Material,JTK 4/Stock/Release/PKG,GBMJTK4/JG281461,15,Pc(s),844.58,12668.7,,,,,,,
