"Korporat Code","Material Type","General Subcategory","Component FG/Korporat Code","Component FG/Material Type","Component FG/General Subcategory","Component REFILL/Korporat Code"
"ALKO-ALKHCKI-X","Raw Material","","","","",""
"D-R1ADP-BULK","Semi Finished Goods","Bulk","","","",""
"VIT-ATCAT-X","Raw Material","","","","",""
"ALAN--AK-K","Raw Material","","","","",""
"PARF-AC046C-X","Raw Material","","","","",""
"FW-AH-BULK","Semi Finished Goods","Bulk","","","",""
"M-AHC-BULK","Semi Finished Goods","Bulk","","","",""
"HBL-AHMG-BULK","Semi Finished Goods","Bulk","","","",""
"ACTI-AVG10X-X","Raw Material","","","","",""
"EXTR-ALVGE-X","Raw Material","","","","",""
"OIL-100146-X","Raw Material","","","","",""
"ACTI-AFEW-X","Raw Material","","","","",""
"PEM-ARBKM-X","Raw Material","","","","",""
"ACTI-ALARB-X","Raw Material","","","","",""
"SAMP-ALPBTN-X","Raw Material","","","","",""
"THIC-AMGM-X","Raw Material","","","","",""
"AMH-LL-X","Raw Material","","","","",""
"AMI-GCK12H-X","Raw Material","","","","",""
"AMI-GCK12K-","Raw Material","","","","",""
"AMON-A-KS","Raw Material","","","","",""
"ATG-71-X","Raw Material","","","","",""
"EMUL-AMPK-","Raw Material","","","","",""
"BRUS-ABBR0-MO","Packaging Material","Regular","","","",""
"BRUS-ABR0-MO","Packaging Material","Regular","","","",""
"ANTA---K","Raw Material","","","","",""
"FLMR-AV2F-X","Raw Material","","","","",""
"SACH-ADSS10R1-W","Packaging Material","Regular","","","",""
"SACH-ADSS10-W","Packaging Material","Regular","","","",""
"MOIS-APCAPGA-X","Raw Material","","","","",""
"WAX-ACG-X","Raw Material","","","","",""
"KUAS-ES-AQSAC09-P","Packaging Material","Regular","","","",""
"PARF-ABHE60-MN","Raw Material","","","","",""
"KUAS-ESMO2KSNBR-THG","Packaging Material","Regular","","","",""
"APPL-EBR0-ENPS","Packaging Material","Regular","","","",""
"KUAS-LIPP10BH-BP","Packaging Material","Regular","","","",""
"KUAS-LIPP10BT-BP","Packaging Material","Regular","","","",""
"FS-AJ-BULK","Semi Finished Goods","Bulk","","","",""
"FM-AIS-BULK","Semi Finished Goods","Bulk","","","",""
"THIC-AK10SNFC-X","Raw Material","","","","",""
"AQUA-G35-X","Raw Material","","","","",""
"SILI-LARAIR-X","Raw Material","","","","",""
"SAMP-AQXY-X","Raw Material","","","","",""
"OIL-ARG-X","Raw Material","","","","",""
"ACTI-APSC-X","Raw Material","","","","",""
"THIC-ARAVC-","Raw Material","","","","",""
"THIC-ARVLT-X","Raw Material","","","","",""
"ARLA-165--K","Raw Material","","","","",""
"ARMO-HD--K","Raw Material","","","","",""
"ARQU---K","Raw Material","","","","",""
"FW-ADCD-BULK","Semi Finished Goods","Bulk","","","",""
"FW-DCPPN1-BULK","Semi Finished Goods","Bulk","","","",""
"FW-PBOC-BULK","Semi Finished Goods","Bulk","","","",""
