Update:,16 Mar 2023,Update Nama Pabrik & Kode Internal (File Kendali Matriks 15/4/21),Update BB 3 November 2021,22 December 2022,,24 May 2023,22 December 2022,15 Mar 2023,12 May 2023,12 May 2023,,,,,,,,,,,
612,EXTR-LDEP090-X,Ekstrak Lavender B,WBE1-ADI,Lavender Dry Extract MMF-P090,Kg,Habiskan stock,Cek Mikro,"Merpati Mahardika, PT",2,5,Ilham,,,EXTR-LDEP090-X,Habiskan stock (akan disubstitusi),,,#N/A,,,
613,EXTR-CMBR-X,Ekstrak Cucumber B,,"Extrapone® Cucumber 660122, ex. Symrise Asia Pacific Pte., Ltd. Singapore",Kg,Belum Eksis,,"Symrise, PT",2,25,Ilham,,,EXTR-CMBR-X,Inactive,,,#N/A,,,
614,EXTR-ALVGE-X,Ekstrak Aloe Vera B,WBE1-AAJ,"Aloe Vera Glycolic Extract 10000002 ex. PT Haldin Pacific Semesta, Indonesia",Kg,Eksis,Cek Mikro,"Haldin Pacific Semesta, PT",4,25,Ilham,,,EXTR-ALVGE-X,Active,,,#N/A,,,
615,ATG-71-X,Cairan ATG 71,HRC1-AAD,"Ammonium Thioglycolate 71% (60% TGA) ex. Bruno Bock Chemische Fabrik GmbH & Co. Kg, Germany",Kg,Eksis,,"Menjangan Sakti, PT",24,37.5,Septi,Pull,,ATG-71-X,Active,,,#N/A,,,
616,SERI-A790TS-X,Powder SC 790,PWD3-ABH,"A790 Tudor Sericite ex. Kingfisher Colours Ltd., Malaysia",Kg,Eksis,Cek Mikro,"Tritunggal Artha Makmur, PT",20,20,Ilham,,,SERI-A790TS-X,Active,,,#N/A,,,
617,MEA-8350-X,Cairan MTG 83,HRC1-AAE,"Monoethanolamine Thioglycolate 83% (50% TGA) ex. Bruno Bock Chemische Fabrik GmbH & Co. Kg, Germany",Kg,Eksis,,"Menjangan Sakti, PT",24,37.5,Septi,Pull,,MEA-8350-X,Active,,,#N/A,,,
618,EXTR-LCRG-X,Ekstrak Pemutih W 2,WHT1-AAE,"Licorice Glycolic Extract 10000098 ex. PT Haldin Pacific Semesta, Indonesia",Kg,Eksis,Cek Mikro,"Haldin Pacific Semesta, PT",4,25,Ilham,,,EXTR-LCRG-X,Active,,,#N/A,,,
619,EXTR-WTGLY-X,Ekstrak White Tea B,WBE1-ABA,"White tea Glycolic Extract 70000526 ex. PT Haldin Pacific Semesta, Indonesia",Kg,Belum Eksis,Cek Mikro,"Haldin Pacific Semesta, PT",4,25,Ilham,,,EXTR-WTGLY-X,Active,,,#N/A,,,
620,SURF-213K-X,Surfaktan MAP,SRF1-ABF,"Dermalcare MAP L-213/K ex. Solvay (Zhenjiang) Chemicals Co.,Ltd, China",Kg,Eksis,,"Brenntag ,PT",14,200,Amel,,,SURF-213K-X,Active,,,#N/A,,,
621,EXTR-CUMGLY-X,Ekstrak Cucumber C,WBE1-ABE,"Cucumber Glycolic Extract 10000051 ex. PT Haldin Pacific Semesta, Indonesia",Kg,Eksis,Cek Mikro,"Haldin Pacific Semesta, PT",4,25,Ilham,,,EXTR-CUMGLY-X,Active,,,#N/A,,,
622,SERI-JDAS-KSP-X,Sericite Coated JDAS,,"Sericite J DAS ex. K.S. Pearl Co., Ltd. Korea",Kg,Belum Eksis,,"Sinergi Multi Lestarindo, PT",2,20,Amel,Pull,,SERI-JDAS-KSP-X,Inactive,,,#N/A,,,
623,SERI-TAS-KSP-X,Sericite Coated TAS,PWD3-ACJ,"Sericite T AS ex. K.S. Pearl Co., Ltd. Korea",Kg,Eksis,,"Sinergi Multi Lestarindo, PT",8,500,Amel,Pull,palet,SERI-TAS-KSP-X,Active,,,#N/A,,,
624,PEN-EUXK900-X,Pengawet K 900,PRV1-ABC,"EUXYL K 900 ex. Schulke & Mayr GmbH, Germany",Kg,Eksis,,"Menjangan Sakti, PT",24,10,Septi,Pull,,PEN-EUXK900-X,Active,,,#N/A,,,
625,PEN-SENSC50-X,Pengawet SC 50,PRV1-ABB,"SENSIVA SC 50 ex. Schulke & Mayr GmbH, Germany",Kg,Eksis,,"Menjangan Sakti, PT",24,10,Septi,Pull,,PEN-SENSC50-X,Active,,,#N/A,,,
626,FILM-KOBOHRPC-X,Film Former HRPC,FFM1-AAH,"Koboguard HRPC ex. Kobo Products, Inc,USA",Kg,Eksis,,"Kemiko Indonesia, PT",20,25,Septi,Pull,,FILM-KOBOHRPC-X,Active,,,#N/A,,,
627,SCRU-CHEMPE20-X,Scrub Merah 20,EXF3-ABG,Chemscrub Powder PE 20 (Red),Kg,Belum Eksis,,"Indokemika Jayatama, PT",2,20,Amel,,,SCRU-CHEMPE20-X,Habiskan stock (Regulasi scrub PE),,,#N/A,,,
628,EMUL-SLSF1000-X,Emulsifier SL 1000,EMS2-AAB,"Silsoft 1000 ex. Momentive Performance Materials Japan LLC, Japan",Kg,Eksis,,"Kemiko Indonesia, PT",16,1,Septi,Pull,,EMUL-SLSF1000-X,Active,,,#N/A,,,
629,ACTI-TINTT-X,Antioksidan TG,ASB3-AAG,"Tinogard TT ex. BASF South East Asia Pte.,Ltd, Switzerland",Kg,Eksis,,"Bahtera Adi Jaya, PT",18,20,Septi,,,ACTI-TINTT-X,Active,,,ACTI-TINTT-X,,,
630,SILI-DCMQ1600-X,Silikon Resin 1600,SLC3-AAG,"Dow Corning MQ-1600 Flake Resin ex. Dow Corning Corporation, USA",Kg,Eksis,,"Mega Setia Agung Kimia, PT",24,20,Ilham,,,SILI-DCMQ1600-X,Active,,,SILI-DCMQ1600-X,,,
631,EXTR-GMP150-X,Ekstrak Goat Milk,WBE3-AAC,"Goat's Milk Dry Extract (MMF-P150) Ex. PT Merpati Mahardika, Indonesia",Kg,Habiskan stock,Cek Mikro,"Merpati Mahardika, PT",2,5,Ilham,,,EXTR-GMP150-X,Habiskan stock (akan disubstitusi),,,#N/A,,,
632,SERI-C021-X,Sericite Coated C021,,"SI-Sericite-C02-1 ex. Miyoshi Suzhou Co., Ltd., China",Kg,Belum Eksis,,"Bronson & Jacobs Indonesia, PT",2,20,Amel,,,SERI-C021-X,Inactive,,,#N/A,,,
633,TITA-INBP-X,Titan INBP,DSP3-AAC,"INBP70U ex.Kobo Products, Inc., USA",Kg,Eksis,,"Kemiko Indonesia, PT",20,5,Septi,Pull,,TITA-INBP-X,Active,,,#N/A,,,
634,WAX-KHWX6700-X,Wax 6700,WAX3-ACD,"Kahlwax 6700 ex.Kahl GmBH & Co.Kg, Germany",Kg,Habiskan stock,,"Tritunggal Artha Makmur, PT",20,20,Ilham,,,WAX-KHWX6700-X,Active,,,#N/A,,,
635,LILI-THAI1618-X,Lilin 1618,,ThaiOL 1618 (50:50),Kg,Belum Eksis,,"Green Innovation Sejati, PT",2,20,Amel,,,LILI-THAI1618-X,Inactive,,,#N/A,,,
636,STEA-DSP300-X,Sintetik Polimer,DSP3-AAB,"Dispersun DSP-OL300 ex Innospec Limited, UK",Kg,Eksis,,"Nardevchem Kemindo, PT",20,20,Septi,,,STEA-DSP300-X,Active,,,#N/A,,,
637,WAX-KWK60P-X,Wax 60P,WAX3-ACA,"Kester Wax K-60P ex Koster Keunen,Inc., USA",Kg,Belum Eksis,,"Ingredients Plus, PT",2,40,Septi,,,WAX-KWK60P-X,Active,,,#N/A,,,
638,WAX-VWU1-X,Wax U1,,"Viscosity Wax U-1 ex Yokozeki Oil & Fat Industries Co.,Ltd. Japan",Kg,Belum Eksis,,"AVANTCHEM, PT",2,20,Amel,,,WAX-VWU1-X,Inactive,,,#N/A,,,
639,SILI-DC-PSFCS-X,Silicon DC 200/1 CS,FFM1-AAI,"Xiameter PMX-200 Silicone Fluid 1 CS ex Dow Corning Australia Pte.Ltd, USA",Kg,Eksis,,"Mega Setia Agung Kimia, PT",16,170,Ilham,,,SILI-DC-PSFCS-X,Active,,,SILI-DC-PSFCS-X,,,
640,SUNP-EPU-2X-X,Serbuk Urethane II,PWD3-AEI,"EPU 2X,ex Sunjin Chemical Co.,Ltd.,Korea",Kg,Eksis,,"Mega Setia Agung Kimia, PT",12,20,Ilham,,,SUNP-EPU-2X-X,Active,,,#N/A,,,
p,TIT-MT60S-X,Titan AS,PWD3-AFC,"Micro TiO2 060 AS ex K.S. Pearl Co.,Ltd, Korea",Kg,Eksis,,"Sinergi Multi Lestarindo, PT",8,20,Amel,Pull,,TIT-MT60S-X,Active,,,#N/A,,,
642,TALC-C-2KPD-X,Talk 2KPD,PWD3-AFB,"Talc 2K PD ex K.S.Pearl Co.,ltd., Korea",Kg,Eksis,,"Sinergi Multi Lestarindo, PT",8,20,Amel,Pull,,TALC-C-2KPD-X,Active,,,#N/A,,,
643,WAX-SCL260-X,Sintetik wax,,"Asensa CL 260 ex.Honeywell, USA (Kg)",Kg,Belum Eksis,,"Lautan Luas, PT",2,25,Ilham,Pull,,WAX-SCL260-X,Inactive,,,#N/A,,,
644,SILI-SPR22-X,Silicon dioksida,,"Sipernat 22 ex Evonik Taiwan Ltd, China",Kg,Belum Eksis,,"Jebsen Jessen Ingredients Indonesia, PT",2,15,Septi,,,SILI-SPR22-X,Inactive,,,#N/A,,,
645,SFT-S649-X,Emollient 649,EMO1-ACI,"Softisan 649 ex IOI Oleo GmbH, Germany",Kg,Eksis,,"Tentrem Artha Nugraha, PT",18,25,Septi,,,SFT-S649-X,Active,,,#N/A,,,
646,BENT-BGVS5PC-X,Gel VS-5,RHM2-AAD,"Bentone Gel VS-5 PC V HV ex Ex Elementis Specialities, Inc, USA",Kg,Eksis,,"DKSH Indonesia, PT",20,25,Septi,,,BENT-BGVS5PC-X,Active,,,#N/A,,,
647,EMUL-NKCW-X,Emulsifier Oil,EMS1-ABE,"Nikkol Nikkomix CW ex Nikko Chemicals Pte Ltd,Singapore",Kg,Eliminasi,,"IMCD Indonesia, PT",10,200,Ilham,,,EMUL-NKCW-X,Active,,,#N/A,,,
648,SUG-CTRS-X,Sukrosa,,"Cester Sugar ex PT Makmur Sejati Internusa, Indonesia",Kg,Belum Eksis,,"Brataco, PT",2,50,,,,SUG-CTRS-X,Inactive,,,#N/A,,,
649,SERI-SERFHS-X,Sericite FHS,PWD3-AEG,"FHS-3 Sericite M-LP ex. Daito Kasei Kogyo Co.,Ltd, Japan",Kg,Eksis,,"Kemiko Indonesia, PT",20,20,Septi,Pull,,SERI-SERFHS-X,Active,,,#N/A,,,
650,MICA-FHSMLP-X,Mica FHS,PWD3-AEH,"FHS-3A Mica M-LP ex. Daito Kasei Kogyo Co.,Ltd, Japan",Kg,Eksis,,"Kemiko Indonesia, PT",20,15,Septi,Pull,,MICA-FHSMLP-X,Active,,,#N/A,,,
651,CHEL-TRIC-L-X,Chelating PP,,"Trilon C Liquid ex BASF, Indonesia",Kg,Belum Eksis,,"Bahtera Adi Jaya, PT",2,250,Septi,,,CHEL-TRIC-L-X,Inactive,,,#N/A,,,
652,DTDG-48%-X,DTDGA 48%,,"Diammonium Dithiodiglycolate 48% ex Bruno Bock Chemische Fabrik GmbH & Co.KG, Germany",Kg,Belum Eksis,,"Menjangan Sakti, PT",2,37.5,Septi,Pull,,DTDG-48%-X,Inactive,,,#N/A,,,
653,EDT-SOLV-X,EDTA-10,CHE3-AAE,Solvitar,Kg,Belum Eksis,,"Glory Katri Putera, PT",2,25,,,,EDT-SOLV-X,"Active, ada stok tapi tidak ada kebutuhan",,,#N/A,,,
654,MONO-SPAHD-X,Sodium Fosfat,CHE3-AAD,"Monosodium Phosphate Anhydrous ex Aditya Birla Chemicals, Thailand",Kg,Belum Eksis,,"Halim Sakti Pratama, PT",2,25,,,,MONO-SPAHD-X,"Active, ada stok tapi tidak ada kebutuhan",,,#N/A,,,
655,ASAM-PA85%-X,Asam Fosfat,,"Phosporic Acid 85% ex Yunphos International Trading Co.,Ltd, China",Kg,Belum Eksis,,"Brenntag ,PT",2,35,Amel,,,ASAM-PA85%-X,Inactive,,,#N/A,,,
656,SFTC-CCS4-X,Serbuk CCS,PWD3-AEJ,"Softouch CCS402 ex Momentive Performance Materials, USA",Kg,Eksis,Cek Mikro,"Kemiko Indonesia, PT",16,10,Septi,Pull,,SFTC-CCS4-X,Active,,,#N/A,,,
657,SCRU-MP220-X,Polyethylene 220,PWD3-AFD,"Micropoly 220 ex Micro Powders Inc, USA",Kg,Eksis,,"Colorindo Chemtra, PT",16,5,Amel,Pull,,SCRU-MP220-X,Active,,,#N/A,,,
658,SFT-DFMCT-X,Emollient MCT,,"Dermofeel MCT ex Dr.Straetmans GmBH, Germany",Kg,Belum Eksis,,"Ingredients Plus, PT",2,25,Septi,,,SFT-DFMCT-X,Habiskan stock (akan discontinue di principle),,,#N/A,,,
659,SUN-MP-X,Serbuk Polimer 2,PWD3-AFE,"SUNPMMA-P ex Sunjin Chemical Co., Ltd, Korea",Kg,Eksis,,"Mega Setia Agung Kimia, PT",16,20,Ilham,,,SUN-MP-X,Active,,,#N/A,,,
660,SFT-CERA847-X,Emollient 847,EMO1-ADG,"Ceraphyl 847 ex Ashland, USA",Kg,Eksis,,"DKSH Indonesia, PT",20,22.68,Septi,,,SFT-CERA847-X,Active,,,#N/A,,,
661,SMG-S600-X,Pengental Gel-Cream,RHM1-ABC,Simulgel 600,Kg,Eksis,,"Mega Setia Agung Kimia, PT",16,30,Ilham,,,SMG-S600-X,Active,,,#N/A,,,
662,HUM-RG26LQSG-X,Humektan RG,MST1-ABF,"Renex G26-LQ-(SG) ex. Croda Singapore Pte., Ltd. Singapore",Kg,Habiskan stock,,"Croda Trading Indonesia, PT",16,200,Ilham,,,HUM-RG26LQSG-X,Active,,,#N/A,,,
663,ACTI-AFEW-X,Bahan aktif skin protection,SCR1-AAG,"Alpaflor(R) Edelweiss ex. DSM Nutritional Products Ltd., Switzerland",Kg,Eksis,Cek Mikro,"Tritunggal Artha Makmur, PT",12,1,Ilham,,,ACTI-AFEW-X,Active,,,#N/A,,,
664,ACTI-NADS2-X,Adenosine,AAG1-AAE,"NLT AdenoSphere 2.0 TM ex. BioSpectrum, Korea",Kg,Eliminasi,Cek Mikro,"Kemiko Indonesia, PT",2,5,Septi,Pull,,ACTI-NADS2-X,Active,,,#N/A,,,
665,ACTI-SDMSP-X,Antioksidan SM,ASB3-AAH,Sodium Metabisulphite ex. Thailand,Kg,Eksis,,"DKSH Indonesia, PT",8,25,Septi,,,ACTI-SDMSP-X,Active,,,#N/A,,,
666,ACTI-APSC-X,Bahan Instant Tightening,WHT1-AAF,"Argireline(R) Peptide Solution C ex. Lipotec S.A.B, Spain",Kg,Eksis,Cek Mikro,"Interchem Prima Mitra, PT",10,100,Ilham,,,ACTI-APSC-X,Active,,,#N/A,,,
667,WAX-KHWX2811-X,Padi Wax,WAX3-ACC,"Kahlwax 2811 P ex. Kahl GMBH & Co. KG, Germany",Kg,Eliminasi,,"Tritunggal Artha Makmur, PT",20,25,Ilham,,,WAX-KHWX2811-X,Active,,,WAX-KHWX2811-X,,,
668,ANTI-STGCHT-X,Bahan anti iritant SG,,Stearyl Glycyrrhetinate,Kg,Belum Eksis,,"IMCD Indonesia, PT",2,1,Ilham,,,ANTI-STGCHT-X,Inactive,,,#N/A,,,
669,A-BGSA200-X,Bahan anti acne BSA,ACN3-AAB,"BioGenic SA 200 ex.BioGenics, Inc. Korea",Kg,Eksis,Cek Mikro,"Colorindo Chemtra, PT",14,20,Amel,Pull,,A-BGSA200-X,Active,,,#N/A,,,
670,SOLV-99A-X,Pelarut ID 99 A,,"Permethyl 99A ex Presperse, Germany",Kg,Belum Eksis,,"Bronson & Jacobs Indonesia, PT",2,150,Amel,,,SOLV-99A-X,Inactive,,,#N/A,,,
671,MWAX-SP19-X,Microwax SP-19,WAX3-ACF,"Microcrystalline Wax SP-19 ex Strahl & Pitsch, USA",Kg,Eksis,,"Bronson & Jacobs Indonesia, PT",20,25,Amel,,,MWAX-SP19-X,Active,,,#N/A,,,
672,HUM-PG400-X,Humektan 400,SLV1-AAF,"Polyglykol 400 ex. Clariant Produkte (Deutschand) Gmbh, Germany",Kg,Habiskan stock,,"Mega Setia Agung Kimia, PT",20,220,Ilham,,,HUM-PG400-X,Active,Update status 16/6/20,,#N/A,,,
673,SILI-CES1104-X,Encapsulated Silicon,SLC2-AAC,"CES 1104 ex. NuSil Technology, USA",Kg,Habiskan stock,,"Bahtera Adi Jaya, PT",28,16,Septi,,,SILI-CES1104-X,"Active, ada stok tapi tidak ada kebutuhan",,,#N/A,,,
674,EXTR-KFGLYEX-X,Ekstrak Kiwi,WBE1-ABG,Kiwi Fruit Glycolic Extract ex. Haldin Pacific Semesta,Kg,Eksis,Cek Mikro,"Haldin Pacific Semesta, PT",4,25,Ilham,,,EXTR-KFGLYEX-X,Active,,,#N/A,,,
675,THIC-AK10SNFC-X,Pengental SH,RHM3-AEE,"Aqua Keep 10SH-NFC ex. Kobo Products, Inc., USA",Kg,Belum Eksis,Cek Mikro,"Kemiko Indonesia, PT",20,20,Septi,Pull,,THIC-AK10SNFC-X,"Active, ada stok tapi tidak ada kebutuhan",,,#N/A,,,
676,EXTR-PAGLYEX-X,Ekstrak Pineapple,WBE1-ABF,Pineapple Glycolic Extract ex. Haldin Pacific Semesta,Kg,Belum Eksis,Cek Mikro,"Haldin Pacific Semesta, PT",4,5,Ilham,,,EXTR-PAGLYEX-X,"Active, ada stok tapi tidak ada kebutuhan",,,#N/A,,,
677,EXTR-WMDEXP105-X,Ekstrak Watermelon,WBE1-AEA,Water Melon Dry Extract (MMF-P105),Kg,Belum Eksis,Cek Mikro,"Merpati Mahardika, PT",2,5,Ilham,,,EXTR-WMDEXP105-X,Habiskan stock (akan disubstitusi),,,#N/A,,,
678,UVAS-BZP2-X,Powder BZ2,SCR3-AAJ,"Uvascreen BZP 2 ex. Thornhill Advanced Research, Inc. Canada",Kg,Eksis,,"Nardevchem Kemindo, PT",12,1,Septi,,,UVAS-BZP2-X,Active,,,#N/A,,,
679,SILI-SSEM105-X,Silikon Shampoo,EMS1-ABI,Serashine EM 105 ex. KCC Beauty,Kg,Eksis,,"Tigaka Distrindo Perkasa, PT",8,180,Amel,,,SILI-SSEM105-X,Active,,,#N/A,,,
680,EM-E3201M-X,Pearlizing Agent,CLR3-WHT-AAI,Emanon 3201 M ex.KAO Indonesia Chemicals,Kg,Eksis,,"Graha Obor Wijaya, PT",2,20,Septi,,,EM-E3201M-X,Active,,,#N/A,,,
681,NUTR-NTKWPP-X,Protein Keratin B,HRC1-AAG,"Nutrilan (R) Keratin W PP ex. BASF Personal Care and Nutrition GMBH, Germany",Kg,Eksis,Cek Mikro,"BASF Distribution Indonesia, PT",18,25,Septi,Pull,,NUTR-NTKWPP-X,Active,,,#N/A,,,
682,EXP-EGS605147-X,Ekstrak Ginseng B,WBE1-ABC,"Extrapone (R) Ginseng 605147 ex. Symrise Asia Pacific Pte., Ltd., Singapore",Kg,Eksis,Cek Mikro,"Symrise, PT",16,25,Ilham,,,EXP-EGS605147-X,Active,,,#N/A,,,
683,HDRL-GLDWBZ-X,Protein Gandum B,HRC1-ABA,"Gluadin WLM Benz ex. BASF Care Creations, Germany",Kg,Eksis,Cek Mikro,"BASF Distribution Indonesia, PT",18,25,Septi,Pull,,HDRL-GLDWBZ-X,Active,,,HDRL-GLDWBZ-X,,,
684,MERQ-MQ2001P-X,Conditioner 2001,HRC1-AAF,Merquat 2001 Polymer ex. Lubrizol Advance Materials Inc,Kg,Eksis,,"Tritunggal Artha Makmur, PT",12,200,Ilham,,,MERQ-MQ2001P-X,Active,,,#N/A,,,
685,EXTR-PEPGLYE-X,Ekstrak Peppermint,WBE1-ABH,Peppermint Glycolic Extract ex. Haldin Pacific Semesta,Kg,Eksis,Cek Mikro,"Haldin Pacific Semesta, PT",4,25,Ilham,,,EXTR-PEPGLYE-X,Active,,,#N/A,,,
686,MERQ-MQ550PP-X,Conditioner 550PR,HRC1-AAH,"Merquat 550PR Polymer ex. Lubrizol Advanced Materials, Inc., USA",Kg,Eksis,,"Tritunggal Artha Makmur, PT",12,200,Ilham,,,MERQ-MQ550PP-X,Active,,,#N/A,,,
687,SFTC-CC60-X,Soft focus powder,PWD3-AFA,"Softouch CC 6004 ex Momentive performance materials, USA",Kg,Habiskan stock,,"Kemiko Indonesia, PT",16,10,Septi,Pull,,SFTC-CC60-X,Active,,,#N/A,,,
688,LAN-99-X,Lanol,SLV1-AAH,"Lanol 99 ex Seppic S.A, France",Kg,Eksis,,"Mega Setia Agung Kimia, PT",16,180,Ilham,,,LAN-99-X,Active,,,#N/A,,,
689,WAX-DR415-X,Wax 415,WAX3-ACE,Candelilla Wax DR-415 ex Strahl & Pitsch,Kg,Belum Eksis,,"Bronson & Jacobs Indonesia, PT",20,25,Amel,,,WAX-DR415-X,Active,,,#N/A,,,
690,ACTI-ZO48F-X,Bahan Antidandruff,,"Zinc Omadine 48% FPS (Cosmetic Grade), ex Arch",Kg,Belum Eksis,,"IMCD Indonesia, PT",2,240,Ilham,,,ACTI-ZO48F-X,Inactive,,,#N/A,,,
691,EXP-EGWGW-X,Glacier Water,,Extrapone® Glacier Water GW,Kg,Belum Eksis,,"Symrise, PT",2,100,Ilham,,,EXP-EGWGW-X,Inactive,,,#N/A,,,
692,MICO-MICBTMS50-X,Conditioning Agent BS50,HRC3-AAF,"Miconium BTMS50 ex. Miwon Commercial CO., Ltd. Korea",Kg,Eksis,,"Lautan Luas, PT",14,20,Ilham,Pull,,MICO-MICBTMS50-X,Active,,,#N/A,,,
693,COM-SKYCSR26-X,Conditioner SR266,HRC1-AAJ,"Skycore(R) SR266 ex. Guangzhou Skycent Chemicals Co., Ltd., China",Kg,Eksis,,"Mega Setia Agung Kimia, PT",12,180,Ilham,,,COM-SKYCSR26-X,Active,,,COM-SKYCSR26-X,,,
694,WAX-CTHRP-X,Wax HCO,WAX3-ACG,"Cutina HR Powder ex. BASF Care Creations, Germany",Kg,Eliminasi,,"BASF Distribution Indonesia, PT",18,20,Septi,Pull,,WAX-CTHRP-X,Active,,,#N/A,,,
695,EMU-GLY767LS-X,Emollient 767,MST3-AAF,"Glycerox 767-LQ-(SG) ex Croda Singapore Pte., Singapore",Kg,Eksis,,"Croda Trading Indonesia, PT",20,200,Ilham,,,EMU-GLY767LS-X,Active,,,#N/A,,,
696,PR-ZPRDL-X,Propanediol,MST1-ABH,"Zemea Propanediol ex. DuPont Tate & Lyle Bio Products Company, USA",Kg,Eksis,,"Mega Setia Agung Kimia, PT",16,199.58,Ilham,,,PR-ZPRDL-X,Active,399.16,,#N/A,,,
697,MOIS-RHH15P-X,Moisturizer Gum-2,MST1-ABI,"Rhamnosoft HP 1,5P ex. Solabia, France",Kg,Eksis,,"Avantchem, PT",16,25,Amel,,,MOIS-RHH15P-X,Active,,,#N/A,,,
698,OIL-OLV300-X,Olive Oil Ester,MST1-ABG,"Olivem (R) 300 ex. HallStar Italia Slr, Italy",Kg,Eksis,Cek Mikro,"Lautan Luas, PT",20,720,Ilham,Pull,palet,OIL-OLV300-X,Active,,,#N/A,,,
699,PENG-SPCCB-X,Pengawet SCB,,SpecKareTM CB,Kg,Discontinue,,"Dwipar Loka Ayu, PT",8,25,Amel,,,PENG-SPCCB-X,Inactive,,,#N/A,,,
700,EXTR-CNDWLHB-X,Extract Willowherb,ACN1-AAB,"Canadian Willowherb, ex Lucas Meyer (Kg)",Kg,Eksis,,"Menjangan Sakti, PT",12,1,Septi,Pull,,EXTR-CNDWLHB-X,Active,,,#N/A,,,
701,MYRI-MYTM-X,Myristic Acid TAM,RHM3-AEF,"Myristic Acid 99%, ex Evyap, Malaysia",Kg,Eksis,,"Tritunggal Artha Makmur, PT",12,25,Ilham,,,MYRI-MYTM-X,Active,,,MYRI-MYTM-X,,,
702,SILI-D5225F-X,Silicon 5225C,SLC1-ACB,"Dow Corning (R) 5225C Formulation Aid ex. Dow Corning Corporation, USA",Kg,Eksis,,"Mega Setia Agung Kimia, PT",24,200,Ilham,,,SILI-D5225F-X,Active,,,#N/A,,,
703,PENG-PHC-X,Pengawet PHC,PRV1-ABD,"Microcare PHC ex Thor Specialities (UK) Limited, Spain",Kg,Eksis,,"Marga Dwi Kencana, PT",12,25,Amel,,,PENG-PHC-X,Active,,,#N/A,,,
704,ACTI-MDIC-X,Bahan aktif dark circle,AAG1-AAF,MDI Complex ex. Lucas Meyer Cosmetics Canada Inc. Canada,Kg,Habiskan stock,,"Menjangan Sakti, PT",12,1,Septi,Pull,,ACTI-MDIC-X,Active,,,#N/A,,,
705,SYNC-SCL-X,Bahan anti wrinkle,AAG1-AAG,"Syncoll ex. DSM Nutritional Products Ltd., Switzerland",Kg,Habiskan stock,,"Tritunggal Artha Makmur, PT",12,1,Ilham,,,SYNC-SCL-X,Active,,,#N/A,,,
706,EMUL-KF6017-X,Emulsifier KF,EMS1-ABF,"KF-6017 ex. Shin-Etsu Chemical Co., Ltd, japan",Kg,Eksis,,"Menjangan Sakti, PT",16,17,Septi,Pull,,EMUL-KF6017-X,Active,,,#N/A,,,
707,EMUL-KSG210-X,Emulsifier 210,EMS1-ABG,"KSG 210 ex. Shin-Etsu Chemical Co., Ltd, japan",Kg,Eksis,,"Menjangan Sakti, PT",16,16,Septi,Pull,,EMUL-KSG210-X,Active,,,#N/A,,,
708,ACTI-ECFA-X,Bahan Aktif Kantung Mata,AAG1-AAH,"Ecoffea ex. Chemyunion Quimica Ltda, Brazil",Kg,Eksis,Cek Mikro,"IMCD Indonesia, PT",10,20,Ilham,,,ACTI-ECFA-X,Active,,,#N/A,,,
709,EMUL-KSG710-X,Emulsifier 710,EMS1-ABH,"KSG 710 ex. Shin-Etsu Chemical Co., Ltd, Japan",Kg,Eksis,,"Menjangan Sakti, PT",16,16,Septi,Pull,,EMUL-KSG710-X,Active,,,#N/A,,,
710,ACTI-TZP48-X,Bahan Antidandruff 48,PRV1-ABF,"TC-ZPT 48 ex. Guangzhou Tinci Materials Technology., Ltd., China",Kg,Habiskan stock,,"Indokemika Jayatama, PT",12,40,Amel,,,ACTI-TZP48-X,Active,,,ACTI-TZP48-X,,,
711,SILI-SSBAPD-X,Silicon BAPD,HRC1-ABB,"Silsoft BAPD ex. Momentive Performance Materials, Ltd., Thailand",Kg,Eksis,,"Kemiko Indonesia, PT",16,10,Septi,Pull,,SILI-SSBAPD-X,Active,,,#N/A,,,
712,CHA-CRPD-X,Serbuk Charcoal,EXF3-AAI,"CharcoPowder ex. Daito Kasei Kogyo Co., Ltd., Japan",Kg,Eksis,Cek Mikro,"Kemiko Indonesia, PT",20,5,Septi,Pull,,CHA-CRPD-X,Active,,,#N/A,,,
713,SILI-BELEG5-X,Silicon EG5,SLC2-AAD,Belsil EG5 ex Wacker Metroark Chemicals Pvt. Ltd,Kg,Eksis,,"DKSH Indonesia, PT",20,15,Septi,,,SILI-BELEG5-X,Active,,,#N/A,,,
714,SILI-CMSF600-X,Silicon SF600,SLC2-AAE,"Cosmethicone SF 600 ex GuangDong BioMax Si&F New Material Co., Ltd",Kg,Eksis,,"Lautan Luas, PT",14,20,Ilham,Pull,,SILI-CMSF600-X,Active,,,#N/A,,,
715,PENG-GEO11S-X,Pengawet 111S,PRV3-ABC,Geogard 111 S,Kg,Belum Eksis,,"IMCD Indonesia, PT",2,1,Ilham,,,PENG-GEO11S-X,Inactive,,,#N/A,,,
716,EMU-LEXS-X,Emollient Shiny,EMO1-ADH,"Lexfeel Shine ex Innolex Chemical Company, USA",Kg,Eksis,,"Namsiang Trading Indonesia, PT",12,1,Amel,,,EMU-LEXS-X,Active,,,#N/A,,,
717,WAX-LQIPL-X,Liquid Wax,EMO2-AAB,"Liquwax TM PolyIPL-SO-(MH) ex Croda Inc, USA",Kg,Belum Eksis,,"Croda Trading Indonesia, PT",2,15,Ilham,,,WAX-LQIPL-X,Inactive,,,#N/A,,,
